序号,开始时间,结束时间,159915_QQ,上证指数
1,2023-01-30,2023-04-21,-10.42%,0.98%
2,2023-07-31,2023-08-07,0.14%,-0.67%
3,2023-08-29,2023-09-14,-5.18%,-0.30%
4,2023-10-25,2023-11-22,4.63%,2.34%
5,2023-12-28,2024-01-17,-9.66%,-4.10%
6,2024-01-25,2024-01-30,-7.82%,-2.60%
7,2024-02-06,2024-03-14,12.88%,8.92%
8,2024-04-17,2024-05-15,2.86%,1.58%
9,2024-07-31,2024-08-12,-5.73%,-2.74%
10,2024-08-30,2024-10-08,72.55%,22.78%
11,2024-10-18,2024-11-14,6.12%,3.63%
12,2025-01-14,2025-01-27,-0.39%,0.30%
13,2025-02-06,2025-02-28,2.31%,1.54%
14,2025-04-08,2025-04-14,5.04%,3.73%
15,2025-05-06,2025-05-15,2.76%,1.95%
16,2025-06-25,2025-09-04,30.44%,8.97%
17,2026-01-05,2026-02-02,-0.88%,-0.19%
18,2026-04-08,2026-05-27,21.26%,2.47%
19,2026-06-15,2026-06-19,5.54%,-0.15%
